0,361
1,26995
2,2236
3,19204
4,13741
5,19207
6,19210
7,13732
8,19213
9,19216
10,2241
11,19219
12,13738
13,19222
14,19225
15,13735
16,19228
17,19231
18,19234
19,2246
20,3491
21,19198
22,251
23,21283
24,256
25,12097
26,12100
27,27967
28,5016
29,28081
30,7990
31,5021
32,5031
33,5026
34,5036
35,5041
36,5046
37,51014
38,5051
39,5056
40,5061
41,5066
42,261
43,20656
44,50526
45,13888
46,13894
47,13891
48,50531
49,50534
50,50533
51,63689
52,123033
53,63688
54,142306
55,50535
56,50536
57,72619
58,174927
59,72620
60,50537
61,63690
62,126624
63,120722
64,174929
65,50538
66,50539
67,50540
68,50541
69,9781
70,49980
71,93510
72,100703
73,98786
74,7861
75,7866
76,41
77,5226
78,34474
79,3501
80,3506
81,3511
82,143647
83,154567
84,133559
85,143646
86,153961
87,21700
88,46
89,143649
90,143648
91,135369
92,5231
93,154059
94,56
95,131198
96,3516
97,155223
98,129018
99,152256
100,4086
101,4091
102,4096
103,4101
104,4106
105,4111
106,4116
107,14128
108,15460
109,15463
110,15472
111,17893
112,17896
113,26665
114,26668
115,26671
116,26674
117,26683
118,26686
119,26689
120,12208
121,27937
122,27940
123,27946
124,27949
125,27955
126,27958
127,27961
128,27964
129,27952
130,36
131,3981
132,3986
133,3991
134,36829
135,45718
136,45721
137,59200
138,59201
139,66224
140,66225
141,66226
142,80211
143,80209
144,80210
145,80207
146,80208
147,64566
148,30661
149,811
150,816
151,50648
152,103429
153,156282
154,156279
155,76889
156,62731
157,62732
158,62733
159,831
160,836
161,841
162,1881
163,70487
164,58958
165,17977
166,139820
167,446
168,451
169,7981
170,93735
171,38362
172,138857
173,49832
174,26521
175,139037
176,162322
177,1781
178,1786
179,9088
180,146
181,9550
182,9565
183,20794
184,20797
185,49372
186,182537
187,51671
188,47775
189,52364
190,47915
191,135976
192,122591
193,23875
194,23878
195,24706
196,41557
197,53096
198,58467
199,86532
200,82542
201,86533
202,86534
203,86535
204,130129
205,85055
206,82252
207,18064
208,52265
209,52263
210,48198
211,1911
212,1916
213,1921
214,1926
215,71922
216,101875
217,127117
218,142330
